time_iso8601,stars_cumulative
2025-08-04 00:00:00+00:00,2685
2025-08-05 00:00:00+00:00,2696
2025-08-06 00:00:00+00:00,2705
2025-08-07 00:00:00+00:00,2715
2025-08-08 00:00:00+00:00,2724
2025-08-09 00:00:00+00:00,2735
2025-08-10 00:00:00+00:00,2742
2025-08-11 00:00:00+00:00,2754
2025-08-12 00:00:00+00:00,2769
2025-08-13 00:00:00+00:00,2788
2025-08-14 00:00:00+00:00,2802
2025-08-15 00:00:00+00:00,2830
2025-08-16 00:00:00+00:00,2840
2025-08-17 00:00:00+00:00,2861
2025-08-18 00:00:00+00:00,2875
2025-08-19 00:00:00+00:00,2891
2025-08-20 00:00:00+00:00,2906
2025-08-21 00:00:00+00:00,2925
2025-08-22 00:00:00+00:00,2932
2025-08-23 00:00:00+00:00,2937
2025-08-24 00:00:00+00:00,2945
2025-08-25 00:00:00+00:00,2954
2025-08-26 00:00:00+00:00,2971
2025-08-27 00:00:00+00:00,2983
2025-08-28 00:00:00+00:00,2988
2025-08-29 00:00:00+00:00,3002
2025-08-30 00:00:00+00:00,3011
2025-08-31 00:00:00+00:00,3020
2025-09-01 00:00:00+00:00,3026
2025-09-02 00:00:00+00:00,3040
2025-09-03 00:00:00+00:00,3053
2025-09-04 00:00:00+00:00,3061
2025-09-05 00:00:00+00:00,3072
2025-09-06 00:00:00+00:00,3079
2025-09-07 00:00:00+00:00,3082
2025-09-08 00:00:00+00:00,3102
2025-09-09 00:00:00+00:00,3113
2025-09-10 00:00:00+00:00,3119
2025-09-11 00:00:00+00:00,3127
2025-09-12 00:00:00+00:00,3133
2025-09-13 00:00:00+00:00,3138
2025-09-14 00:00:00+00:00,3147
2025-09-15 00:00:00+00:00,3154
2025-09-16 00:00:00+00:00,3167
2025-09-17 00:00:00+00:00,3173
2025-09-18 00:00:00+00:00,3187
2025-09-19 00:00:00+00:00,3197
2025-09-20 00:00:00+00:00,3200
2025-09-21 00:00:00+00:00,3207
2025-09-22 00:00:00+00:00,3223
2025-09-23 00:00:00+00:00,3236
2025-09-24 00:00:00+00:00,3254
2025-09-25 00:00:00+00:00,3266
2025-09-26 00:00:00+00:00,3279
2025-09-27 00:00:00+00:00,3286
2025-09-28 00:00:00+00:00,3299
2025-09-29 00:00:00+00:00,3311
2025-09-30 00:00:00+00:00,3324
2025-10-01 00:00:00+00:00,3340
2025-10-02 00:00:00+00:00,3349
