time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-16 00:00:00+00:00,700,306,1026,410
2025-09-17 00:00:00+00:00,708,284,875,351
2025-09-18 00:00:00+00:00,626,271,845,386
2025-09-19 00:00:00+00:00,601,250,817,374
2025-09-20 00:00:00+00:00,379,182,606,255
2025-09-21 00:00:00+00:00,518,189,620,238
2025-09-22 00:00:00+00:00,706,325,1118,408
2025-09-23 00:00:00+00:00,812,336,1161,460
2025-09-24 00:00:00+00:00,719,316,979,392
2025-09-25 00:00:00+00:00,718,260,1099,398
2025-09-26 00:00:00+00:00,844,284,1168,400
2025-09-27 00:00:00+00:00,738,247,859,318
2025-09-28 00:00:00+00:00,502,250,1090,391
2025-09-29 00:00:00+00:00,663,288,994,399
